word,mean_rating,score,count_word
love,4.667421672503577,3,1911685
recommend,4.3649167319305375,2,463503
perfect,4.702443246645945,3,457506
fit,3.9616162544819344,1,304556
support,3.8282192300398257,2,184555
nice,4.28520575252741,3,161529
top,3.8417714952665025,2,154220
cute,4.238097183858261,2,122366
clean,4.347437390797904,2,103020
safe,4.217642935816562,1,99870
